file_path,rat,label,channels,duration_s,num_samples,sampling_hz
data\RAT6_PLANTARFLEXION\plantar_170320_115956.rhd,RAT6,PLANTARFLEXION,56,0.448,13440,30000.0
data\RAT6_PRICKING\pricking_170320_121516.rhd,RAT6,PRICKING,56,0.768,23040,30000.0
data\RAT7_DORSIFLEXION\dorsi_170508_114743.rhd,RAT7,DORSIFLEXION,64,1.344,40320,30000.0
data\RAT8_PLANTARFLEXION\plantar_170515_124515.rhd,RAT8,PLANTARFLEXION,56,2.464,73920,30000.0
data\RAT8_DORSIFLEXION\Dorsi_170515_123651.rhd,RAT8,DORSIFLEXION,56,3.104,93120,30000.0
data\RAT5_PRICKING\pricking_170313_125843.rhd,RAT5,PRICKING,56,3.168,95040,30000.0
data\RAT5_DORSIFLEXION\dorsi_170313_124003.rhd,RAT5,DORSIFLEXION,56,3.968,119040,30000.0
data\RAT7_PLANTARFLEXION\plantar_170508_115327.rhd,RAT7,PLANTARFLEXION,64,4.32,129600,30000.0
data\RAT4_PLANTARFLEXION\plantar_170306_124236.rhd,RAT4,PLANTARFLEXION,56,4.608,138240,30000.0
data\RAT4_DORSIFLEXION\dorsi_170306_123622.rhd,RAT4,DORSIFLEXION,56,5.056,151680,30000.0
data\RAT5_PLANTARFLEXION\plantar_170313_124523.rhd,RAT5,PLANTARFLEXION,56,7.136,214080,30000.0
data\RAT4_PRICKING\pricking_170306_125703.rhd,RAT4,PRICKING,56,8.96,268800,30000.0
data\RAT7_PRICKING\pricking_170508_120719.rhd,RAT7,PRICKING,64,19.744,592320,30000.0
data\RAT7_DORSI_PLANTAR_PART2\dorsiplantar_170508_120154.rhd,RAT7,DORSI_PLANTAR_PART2,64,21.472,644160,30000.0
data\RAT4_DORSI_PLANTAR_PART2\dorsi-plantar_170306_125118.rhd,RAT4,DORSI_PLANTAR_PART2,56,29.28,878400,30000.0
data\RAT3_PRICKING\pricking_170227_133327.rhd,RAT3,PRICKING,56,35.648,1069440,30000.0
data\RAT10_DORSI_PLANTAR_PART2\dorsiplantar_170605_123955.rhd,RAT10,DORSI_PLANTAR_PART2,56,46.688,1400640,30000.0
data\RAT8_DORSI_PLANTAR_PART2\dorsiplantar_170515_125414.rhd,RAT8,DORSI_PLANTAR_PART2,56,47.968,1439040,30000.0
data\RAT9_DORSI_PLANTAR_PART2\dorsiplantar_170529_125301.rhd,RAT9,DORSI_PLANTAR_PART2,56,48.8,1464000,30000.0
data\RAT6_DORSI_PLANTAR_PART2\dorsi-plantar_170320_120653.rhd,RAT6,DORSI_PLANTAR_PART2,56,54.08,1622400,30000.0
data\RAT10_PLANTARFLEXION\plantar_170605_123235.rhd,RAT10,PLANTARFLEXION,56,54.336,1630080,30000.0
data\RAT10_PRICKING\prick_170605_124417.rhd,RAT10,PRICKING,56,54.464,1633920,30000.0
data\RAT9_PLANTARFLEXION\plantar_170529_124520.rhd,RAT9,PLANTARFLEXION,56,55.04,1651200,30000.0
data\RAT8_PRICKING\prick_170515_130043.rhd,RAT8,PRICKING,56,56.032,1680960,30000.0
data\RAT9_PRICKING\prick_170529_125859.rhd,RAT9,PRICKING,56,56.128,1683840,30000.0
data\RAT6_DORSIFLEXION\dorsi_170320_115220.rhd,RAT6,DORSIFLEXION,56,56.512,1695360,30000.0
data\RAT10_DORSIFLEXION\dorsi_170605_122807.rhd,RAT10,DORSIFLEXION,56,56.64,1699200,30000.0
data\RAT5_DORSI_PLANTAR_PART2\dorsi-plantar_170313_125217.rhd,RAT5,DORSI_PLANTAR_PART2,56,57.248,1717440,30000.0
data\RAT9_DORSIFLEXION\Dorsi_170529_123904.rhd,RAT9,DORSIFLEXION,56,57.312,1719360,30000.0
