Rat,File,Duration_seconds,Duration_minutes,Num_samples,Sample_rate_Hz
RAT10_DORSI_PLANTAR_PART1,dorsiplantar_170605_123454.rhd,60.03,1.0,1800960,30000
RAT10_DORSI_PLANTAR_PART1,dorsiplantar_170605_123554.rhd,60.03,1.0,1800960,30000
RAT10_DORSI_PLANTAR_PART1,dorsiplantar_170605_123655.rhd,60.03,1.0,1800960,30000
RAT10_DORSI_PLANTAR_PART1,dorsiplantar_170605_123755.rhd,60.03,1.0,1800960,30000
RAT10_DORSI_PLANTAR_PART2,dorsiplantar_170605_123855.rhd,60.03,1.0,1800960,30000
RAT10_DORSI_PLANTAR_PART2,dorsiplantar_170605_123955.rhd,46.69,0.78,1400640,30000
RAT4_DORSI_PLANTAR_PART1,dorsi-plantar_170306_124518.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART1,dorsi-plantar_170306_124618.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART1,dorsi-plantar_170306_124718.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART1,dorsi-plantar_170306_124818.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART2,dorsi-plantar_170306_124918.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART2,dorsi-plantar_170306_125018.rhd,60.03,1.0,1800960,30000
RAT4_DORSI_PLANTAR_PART2,dorsi-plantar_170306_125118.rhd,29.28,0.49,878400,30000
RAT5_DORSI_PLANTAR_PART1,dorsi-plantar_170313_124717.rhd,60.03,1.0,1800960,30000
RAT5_DORSI_PLANTAR_PART1,dorsi-plantar_170313_124817.rhd,60.03,1.0,1800960,30000
RAT5_DORSI_PLANTAR_PART1,dorsi-plantar_170313_124917.rhd,60.03,1.0,1800960,30000
RAT5_DORSI_PLANTAR_PART1,dorsi-plantar_170313_125017.rhd,60.03,1.0,1800960,30000
RAT5_DORSI_PLANTAR_PART2,dorsi-plantar_170313_125117.rhd,60.03,1.0,1800960,30000
RAT5_DORSI_PLANTAR_PART2,dorsi-plantar_170313_125217.rhd,57.25,0.95,1717440,30000
RAT6_DORSI_PLANTAR_PART1,dorsi-plantar_170320_120152.rhd,60.03,1.0,1800960,30000
RAT6_DORSI_PLANTAR_PART1,dorsi-plantar_170320_120252.rhd,60.03,1.0,1800960,30000
RAT6_DORSI_PLANTAR_PART1,dorsi-plantar_170320_120352.rhd,60.03,1.0,1800960,30000
RAT6_DORSI_PLANTAR_PART1,dorsi-plantar_170320_120452.rhd,60.03,1.0,1800960,30000
RAT6_DORSI_PLANTAR_PART2,dorsi-plantar_170320_120552.rhd,60.03,1.0,1800960,30000
RAT6_DORSI_PLANTAR_PART2,dorsi-plantar_170320_120653.rhd,54.08,0.9,1622400,30000
RAT7_DORSI_PLANTAR_PART1,dorsiplantar_170508_115554.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART1,dorsiplantar_170508_115654.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART1,dorsiplantar_170508_115754.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART2,dorsiplantar_170508_115854.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART2,dorsiplantar_170508_115954.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART2,dorsiplantar_170508_120054.rhd,60.03,1.0,1800960,30000
RAT7_DORSI_PLANTAR_PART2,dorsiplantar_170508_120154.rhd,21.47,0.36,644160,30000
RAT8_DORSI_PLANTAR_PART1,dorsiplantar_170515_124914.rhd,60.03,1.0,1800960,30000
RAT8_DORSI_PLANTAR_PART1,dorsiplantar_170515_125014.rhd,60.03,1.0,1800960,30000
RAT8_DORSI_PLANTAR_PART1,dorsiplantar_170515_125114.rhd,60.03,1.0,1800960,30000
RAT8_DORSI_PLANTAR_PART1,dorsiplantar_170515_125214.rhd,60.03,1.0,1800960,30000
RAT8_DORSI_PLANTAR_PART2,dorsiplantar_170515_125314.rhd,60.03,1.0,1800960,30000
RAT8_DORSI_PLANTAR_PART2,dorsiplantar_170515_125414.rhd,47.97,0.8,1439040,30000
RAT9_DORSI_PLANTAR_PART1,dorsiplantar_170529_124801.rhd,60.03,1.0,1800960,30000
RAT9_DORSI_PLANTAR_PART1,dorsiplantar_170529_124901.rhd,60.03,1.0,1800960,30000
RAT9_DORSI_PLANTAR_PART1,dorsiplantar_170529_125001.rhd,60.03,1.0,1800960,30000
RAT9_DORSI_PLANTAR_PART1,dorsiplantar_170529_125101.rhd,60.03,1.0,1800960,30000
RAT9_DORSI_PLANTAR_PART2,dorsiplantar_170529_125201.rhd,60.03,1.0,1800960,30000
RAT9_DORSI_PLANTAR_PART2,dorsiplantar_170529_125301.rhd,48.8,0.81,1464000,30000
